source_term,target_term,category,notes
룻,Ruth,Bible Name,Fictional sample glossary entry for Bible name handling
보아스,Boaz,Bible Name,Fictional sample glossary entry for Bible name handling
나오미,Naomi,Bible Name,Fictional sample glossary entry for Bible name handling
모압,Moab,Bible Place,Fictional sample glossary entry for Bible location handling
베들레헴,Bethlehem,Bible Place,Fictional sample glossary entry for Bible location handling
은혜,grace,Theological Term,Common sermon term
구원,salvation,Theological Term,Common sermon term
믿음,faith,Theological Term,Common sermon term
소망,hope,Theological Term,Common sermon term
회복,restoration,Theological Term,Common sermon term
예배,worship,Church Term,Common church service term
말씀,message,Church Term,Can also mean Word depending on sermon context
성경,Scripture,Church Term,Can also be translated as Bible depending on context
기도,prayer,Church Term,Common church term
성도,believer,Church Term,May also be translated as congregation depending on context
